timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,temperature.gpu,clocks.sm,clocks.mem,pstate,ecc.errors.uncorrected.volatile.total
2026/08/17 12:54:11.610, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 405.17, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:11.610, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 96, 56, 96045, 97887, 375.44, 600.00, 44, 2385, 12481, P0, 0
2026/08/17 12:54:16.611, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96743, 97887, 450.55, 600.00, 44, 2280, 12481, P0, 0
2026/08/17 12:54:16.612, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 59, 95737, 97887, 393.70, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:54:16.612, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 32, 94399, 97887, 592.02, 600.00, 68, 2385, 12481, P0, 0
2026/08/17 12:54:16.613, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 88.07, 600.00, 34, 2302, 12481, P0, 0
2026/08/17 12:54:16.613, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 382.05, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:16.614, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 96741, 97887, 377.62, 600.00, 52, 2392, 12481, P0, 0
2026/08/17 12:54:16.614, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95809, 97887, 404.68, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:16.615, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 96, 56, 96045, 97887, 368.50, 600.00, 46, 2385, 12481, P0, 0
2026/08/17 12:54:21.616, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 87.59, 600.00, 36, 2347, 12481, P0, 0
2026/08/17 12:54:21.616, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 62, 95737, 97887, 445.88, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:21.616, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 27, 94399, 97887, 574.81, 600.00, 67, 2392, 12481, P0, 0
2026/08/17 12:54:21.617, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 88.07, 600.00, 34, 2310, 12481, P0, 0
2026/08/17 12:54:21.617, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 98, 57, 96825, 97887, 380.43, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:21.618, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 91.64, 600.00, 42, 2370, 12481, P0, 0
2026/08/17 12:54:21.618, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95811, 97887, 414.75, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:21.619, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 96, 56, 96045, 97887, 371.22, 600.00, 47, 2385, 12481, P0, 0
2026/08/17 12:54:26.619, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.61, 600.00, 35, 2347, 12481, P0, 0
2026/08/17 12:54:26.620, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 95737, 97887, 387.54, 600.00, 54, 2392, 12481, P0, 0
2026/08/17 12:54:26.622, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 35, 94399, 97887, 590.80, 600.00, 65, 2385, 12481, P0, 0
2026/08/17 12:54:26.622, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 87.54, 600.00, 33, 2310, 12481, P0, 0
2026/08/17 12:54:26.622, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 381.37, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:26.623, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 90.17, 600.00, 40, 2370, 12481, P0, 0
2026/08/17 12:54:26.623, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 95811, 97887, 405.59, 600.00, 55, 2400, 12481, P0, 0
2026/08/17 12:54:26.624, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 95, 60, 96045, 97887, 393.64, 600.00, 50, 2392, 12481, P0, 0
2026/08/17 12:54:31.624, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 87.05, 600.00, 34, 2362, 12481, P0, 0
2026/08/17 12:54:31.625, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 95737, 97887, 386.86, 600.00, 53, 2392, 12481, P0, 0
2026/08/17 12:54:31.625, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 39, 94399, 97887, 589.53, 600.00, 67, 2392, 12481, P0, 0
2026/08/17 12:54:31.626, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 87.29, 600.00, 33, 2310, 12481, P0, 0
2026/08/17 12:54:31.626, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 98, 57, 96825, 97887, 382.44, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:31.627, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 90.17, 600.00, 39, 2370, 12481, P0, 0
2026/08/17 12:54:31.627, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 98, 61, 95811, 97887, 403.03, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:31.628, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 61, 96045, 97887, 395.24, 600.00, 51, 2392, 12481, P0, 0
2026/08/17 12:54:36.629, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96743, 97887, 86.57, 600.00, 34, 2362, 12481, P0, 0
2026/08/17 12:54:36.629, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 56, 95737, 97887, 387.01, 600.00, 53, 2392, 12481, P0, 0
2026/08/17 12:54:36.629, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 100, 38, 94399, 97887, 577.49, 600.00, 68, 2392, 12481, P0, 0
2026/08/17 12:54:36.630, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 95825, 97887, 87.05, 600.00, 33, 2310, 12481, P0, 0
2026/08/17 12:54:36.630, 4, NVIDIA RTX PRO 6000 Blackwell Server Edition, 97, 57, 96825, 97887, 382.50, 600.00, 53, 2385, 12481, P0, 0
2026/08/17 12:54:36.631, 5, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0, 96741, 97887, 88.76, 600.00, 37, 2370, 12481, P0, 0
2026/08/17 12:54:36.631, 6, NVIDIA RTX PRO 6000 Blackwell Server Edition, 98, 61, 95811, 97887, 402.19, 600.00, 55, 2392, 12481, P0, 0
2026/08/17 12:54:36.631, 7, NVIDIA RTX PRO 6000 Blackwell Server Edition, 96, 55, 96045, 97887, 370.32, 600.00, 51, 2385, 12481, P0, 0
